Optimal solution:
Rc[alpha,mux1_plin] = 1.0
Theta_1[constant36,extsi65] = 0.0
Theta_1[fork23,cmpi9_plin] = 0.0
Theta_1[cond_br41,mux29_plin] = 1.0
Theta_1[extsi68,mux31_plin] = 0.0
Theta_1[LSQ_load2_plin,LSQ_load2_plout] = 0.0
Theta_1[cond_br26,control_merge13] = 0.0
Theta_1[fork5,cond_br1] = 1.0
Theta_1[muli12_plin,muli12_plout] = 2.571856371904393e-15
Theta_1[fork12,cond_br15] = 0.0
Theta_1[fork19,muli2_plin] = 0.0
Theta_1[constant41,extsi81] = 0.0
Theta_1[LSQ_load3_plout,LSQ4] = 0.0
Theta_1[fork49,cond_br45] = 0.0
Theta_1[mc_load6_plout,mux11_plin] = 0.0
Theta_1[LSQ_load6_plout,LSQ4] = 0.0
Theta_1[trunci4,cond_br41] = 0.0
Theta_1[cmpi11_plout,fork34] = 0.0
Theta_1[cond_br43,mux31_plin] = 0.0
Theta_1[cond_br3,sink2] = 0.0
Theta_1[fork17,constant28] = 0.0
Theta_1[constant29,fork22] = 0.0
Theta_1[extsi79,mc_store0] = 0.0
Theta_1[source12,constant40] = 0.0
Theta_1[fork9,extsi35] = 0.0
Theta_1[fork29,extsi62] = 0.0
Theta_1[constant40,extsi80] = 0.0
Theta_1[fork3,extsi29] = 0.0
Theta_1[extsi61,mux29_plin] = 0.0
Theta_1[cond_br38,mux18_plin] = 0.0
Theta_1[fork27,cmpi10_plin] = 0.0
Theta_1[fork18,extsi48] = 0.0
Theta_1[mux8_plout,mux12_plin] = 0.0
Theta_1[cond_br43,sink9] = 0.0
Theta_1[LSQ4,LSQ_load6_plin] = 0.0
Theta_1[extsi71,LSQ_load6_plin] = 0.0
Theta_1[mux24_plin,mux24_plout] = 0.0
Theta_1[extsi39,mc_load8_plin] = 0.0
Theta_1[muli0_plout,addi0_plin] = 0.0
Theta_1[fork9,extsi36] = 0.0
Theta_1[fork16,mux26_plin] = 0.0
Theta_1[cond_br30,control_merge15] = 1.0
Theta_1[cond_br9,mux5_plin] = 0.0
Theta_1[fork5,extsi33] = 0.0
Theta_1[mux18_plin,mux18_plout] = 0.0
Theta_1[cond_br44,fork46] = 0.0
Theta_1[cond_br34,cond_br38] = 0.0
Theta_1[addi1_plin,addi1_plout] = 0.0
Theta_1[lazy_fork0,fork8] = 0.0
Theta_1[addi22_plin,addi22_plout] = 0.0
Theta_1[extsi31,muli11_plin] = 0.0
Theta_1[cond_br9,cond_br14] = 0.0
Theta_1[mux27_plout,fork18] = 1.0000000000000004
Theta_1[extsi36,cmpi7_plin] = 0.0
Theta_1[extsi49,muli12_plin] = 0.0
Theta_1[mux11_plin,mux11_plout] = 1.0000000000000004
Theta_1[extsi40,addi17_plin] = 0.0
Theta_1[addi0_plin,addi0_plout] = 0.0
Theta_1[source10,constant38] = 0.0
Theta_1[cond_br18,mux11_plin] = 0.0
Theta_1[mux23_plin,mux23_plout] = 0.0
Theta_1[extsi66,mux30_plin] = 0.0
Theta_1[cmpi8_plout,fork14] = 0.0
Theta_1[LSQ_store1,LSQ4] = 0.0
Theta_1[mux1_plout,mux4_plin] = 0.0
Theta_1[extsi59,cmpi10_plin] = 0.0
Theta_1[mc_load7_plout,mux20_plin] = 0.0
Theta_1[cond_br6,sink4] = 0.0
Theta_1[extsi33,fork6] = 0.0
Theta_1[cond_br40,extsi61] = 0.0
Theta_1[cmpi7_plout,fork11] = 0.0
Theta_1[cond_br0,sink0] = 0.0
Theta_1[mc_load6_plin,mc_load6_plout] = 1.2760918972303396e-15
Theta_1[fork6,mc_load2_plin] = 0.0
Theta_1[constant30,extsi54] = 0.0
Theta_1[mux18_plout,mux21_plin] = 0.0
Theta_1[constant32,extsi59] = 0.0
Theta_1[fork14,cond_br15] = 0.0
Theta_1[constant31,cond_br40] = 0.0
Theta_1[lazy_fork3,LSQ4] = 0.0
Theta_1[fork16,mux8_plin] = 0.0
Theta_1[fork28,cond_br40] = 0.0
Theta_1[fork37,control_merge17] = 0.0
Theta_1[addi4_plin,addi4_plout] = 0.0
Theta_1[muli4_plout,muli5_plin] = 0.0
Theta_1[fork11,cond_br0] = 0.0
Theta_1[mux21_plout,fork39] = 0.0
Theta_1[extsi37,addi18_plin] = 0.0
Theta_1[fork42,LSQ4] = 0.0
Theta_1[fork24,cond_br20] = 0.0
Theta_1[fork38,extsi71] = 0.0
Theta_1[fork45,cond_br33] = 0.0
Theta_1[mux26_plout,fork15] = 0.0
Theta_1[mux30_plin,mux30_plout] = 0.0
Theta_1[cond_br29,mux16_plin] = 1.0
Theta_1[extsi72,muli13_plin] = 0.0
Theta_1[trunci1,cond_br2] = 0.0
Theta_1[fork18,extsi49] = 0.0
Theta_1[LSQ_store2,LSQ4] = 0.0
Theta_1[fork38,extsi69] = 0.0
Theta_1[control_merge11,fork1] = 0.0
Theta_1[mux21_plin,mux21_plout] = 0.0
Theta_1[addi0_plout,addi1_plin] = 0.0
Theta_1[fork4,mc_load1_plin] = 0.0
Theta_1[extsi58,LSQ_store1] = 0.0
Theta_1[trunci5,cond_br43] = 0.0
Theta_1[mux12_plout,cond_br19] = 1.0000000000000004
Theta_1[fork11,cond_br11] = 0.0
Theta_1[mux2_plout,mux5_plin] = 0.0
Theta_1[mc_load5_plin,mc_load5_plout] = 1.3099401105913374e-15
Theta_1[fork14,cond_br14] = 0.0
Theta_1[cond_br26,control_merge15] = 0.0
Theta_1[mux29_plout,fork29] = 0.0
Theta_1[fork13,cmpi8_plin] = 0.0
Theta_1[mc_load2_plout,muli1_plin] = 0.0
Theta_1[extsi77,LSQ_load5_plin] = 0.0
Theta_1[fork11,cond_br9] = 0.0
Theta_1[LSQ_load6_plout,muli5_plin] = 0.0
Theta_1[constant26,extsi43] = 0.0
Theta_1[mux1_plin,mux1_plout] = 0.0
Theta_1[fork15,mux28_plin] = 0.0
Theta_1[addi24_plin,addi24_plout] = 0.0
Theta_1[cmpi10_plin,cmpi10_plout] = 0.0
Theta_1[mc_load4_plout,muli3_plin] = 0.0
Theta_1[mc_load7_plin,mc_load7_plout] = 1.3015303328358796e-15
Theta_1[extsi53,muli12_plin] = 0.0
Theta_1[cond_br22,control_merge14] = 0.0
Theta_1[fork5,extsi32] = 0.0
Theta_1[mux31_plout,fork38] = 0.0
Theta_1[fork28,cond_br25] = 0.0
Theta_1[cond_br42,extsi66] = 0.0
Theta_1[constant23,fork9] = 0.0
Theta_1[fork2,control_merge12] = 0.0
Theta_0[alpha,mux1_plin] = -0.0
Theta_0[beta,mux2_plin] = -0.0
Theta_0[start_0,fork0] = -0.0
Theta_0[fork0,constant0] = -0.0
Theta_0[fork0,control_merge11] = -0.0
Theta_0[constant0,extsi25] = -0.0
Theta_0[extsi25,mux23_plin] = -0.0
Theta_0[mux1_plout,mux4_plin] = -0.0
Theta_0[mux2_plout,mux5_plin] = -0.0
Theta_0[mux23_plout,mux25_plin] = -0.0
Theta_0[control_merge11,fork1] = -0.0
Theta_0[control_merge11,fork2] = -0.0
Theta_0[fork1,mux1_plin] = -0.0
Theta_0[fork1,mux2_plin] = -0.0
Theta_0[fork1,mux23_plin] = -0.0
Theta_0[fork2,constant1] = -0.0
Theta_0[fork2,control_merge12] = -0.0
Theta_0[constant1,extsi26] = -0.0
Theta_0[extsi26,mux24_plin] = -0.0
Theta_0[mux24_plout,fork3] = -0.0
Theta_0[fork3,extsi27] = -0.0
Theta_0[fork3,extsi28] = 2.8077380420654663e-09
Theta_0[fork3,extsi29] = -0.0
Theta_0[fork3,extsi30] = -0.0
Theta_0[extsi27,addi17_plin] = 1.3987384583913354e-09
Theta_0[extsi28,addi16_plin] = -0.0
Theta_0[extsi29,addi18_plin] = -0.0
Theta_0[extsi30,fork4] = -0.0
Theta_0[fork4,mc_load1_plin] = -0.0
Theta_0[fork4,mc_load3_plin] = -0.0
Theta_0[mux4_plout,cond_br8] = -0.0
Theta_0[mux5_plout,cond_br9] = -0.0
Theta_0[mux25_plout,fork5] = -0.0
Theta_0[fork5,extsi31] = -0.0
Theta_0[fork5,extsi32] = -0.0
Theta_0[fork5,extsi33] = -0.0
Theta_0[fork5,cond_br1] = 1.0
Theta_0[extsi31,muli11_plin] = -0.0
Theta_0[extsi32,muli10_plin] = -0.0
Theta_0[extsi33,fork6] = -0.0
Theta_0[fork6,mc_load0_plin] = -0.0
Theta_0[fork6,mc_load2_plin] = -0.0
Theta_0[control_merge12,fork7] = -0.0
Theta_0[control_merge12,lazy_fork0] = 0.0
Theta_0[fork7,mux24_plin] = -0.0
Theta_0[fork7,mux4_plin] = -0.0
Theta_0[fork7,mux5_plin] = -0.0
Theta_0[fork7,mux25_plin] = -0.0
Theta_0[lazy_fork0,fork8] = -0.0
Theta_0[lazy_fork0,cond_br11] = -0.0
Theta_0[lazy_fork0,LSQ3] = 3.248459723437236e-09
Theta_0[fork8,constant2] = -0.0
Theta_0[constant2,extsi2] = 0.0
Theta_0[source0,constant23] = -0.0
Theta_0[constant23,fork9] = -0.0
Theta_0[fork9,extsi34] = -0.0
Theta_0[fork9,extsi35] = -0.0
Theta_0[fork9,extsi36] = -0.0
Theta_0[extsi34,muli11_plin] = -0.0
Theta_0[extsi35,muli10_plin] = -0.0
Theta_0[extsi36,cmpi7_plin] = -0.0
Theta_0[source1,constant24] = -0.0
Theta_0[constant24,extsi37] = -0.0
Theta_0[extsi37,addi18_plin] = -0.0
Theta_0[muli10_plout,extsi38] = -0.0
Theta_0[extsi38,addi16_plin] = -0.0
Theta_0[addi16_plout,extsi39] = -0.0
Theta_0[extsi39,mc_load8_plin] = -0.0
Theta_0[mc_load8_plout,addi0_plin] = -0.0
Theta_0[mc_load0_plout,muli0_plin] = -0.0
Theta_0[mc_load1_plout,muli0_plin] = -0.0
Theta_0[muli0_plout,addi0_plin] = -0.0
Theta_0[addi0_plout,addi1_plin] = -0.0
Theta_0[mc_load2_plout,muli1_plin] = -0.0
Theta_0[mc_load3_plout,muli1_plin] = -0.0
Theta_0[muli1_plout,addi1_plin] = -0.0
Theta_0[addi1_plout,LSQ_store0] = -0.0
Theta_0[muli11_plout,extsi40] = -0.0
Theta_0[extsi40,addi17_plin] = -0.0
Theta_0[addi17_plout,extsi41] = -0.0
Theta_0[extsi41,LSQ_store0] = 1.8497109399717715e-09
Theta_0[LSQ_store0,LSQ3] = -0.0
Theta_0[addi18_plout,fork10] = -0.0
Theta_0[fork10,trunci0] = -0.0
Theta_0[fork10,cmpi7_plin] = -0.0
Theta_0[trunci0,cond_br0] = 1.0
Theta_0[cmpi7_plout,fork11] = -0.0
Theta_0[fork11,cond_br0] = -0.0
Theta_0[fork11,cond_br8] = -0.0
Theta_0[fork11,cond_br9] = -0.0
Theta_0[fork11,cond_br1] = -0.0
Theta_0[fork11,cond_br11] = -0.0
Theta_0[cond_br0,mux24_plin] = -0.0
Theta_0[cond_br0,sink0] = -0.0
Theta_0[cond_br8,mux4_plin] = -0.0
Theta_0[cond_br8,cond_br13] = -0.0
Theta_0[cond_br9,mux5_plin] = -0.0
Theta_0[cond_br9,cond_br14] = -0.0
Theta_0[cond_br1,mux25_plin] = -0.0
Theta_0[cond_br1,extsi42] = -0.0
Theta_0[cond_br11,control_merge12] = -0.0
Theta_0[cond_br11,fork12] = -0.0
Theta_0[extsi42,addi19_plin] = -0.0
Theta_0[fork12,constant25] = -0.0
Theta_0[fork12,cond_br15] = -0.0
Theta_0[constant25,cond_br3] = -0.0
Theta_0[source2,constant26] = -0.0
Theta_0[constant26,extsi43] = -0.0
Theta_0[extsi43,cmpi8_plin] = -0.0
Theta_0[source3,constant27] = -0.0
Theta_0[constant27,extsi44] = -0.0
Theta_0[extsi44,addi19_plin] = -0.0
Theta_0[addi19_plout,fork13] = -0.0
Theta_0[fork13,trunci1] = -0.0
Theta_0[fork13,cmpi8_plin] = -0.0
Theta_0[trunci1,cond_br2] = -0.0
Theta_0[cmpi8_plout,fork14] = -0.0
Theta_0[fork14,cond_br2] = -0.0
Theta_0[fork14,cond_br13] = -0.0
Theta_0[fork14,cond_br14] = -0.0
Theta_0[fork14,cond_br15] = -0.0
Theta_0[fork14,cond_br3] = -0.0
Theta_0[cond_br2,mux23_plin] = -0.0
Theta_0[cond_br2,sink1] = -0.0
Theta_0[cond_br13,mux1_plin] = -0.0
Theta_0[cond_br13,mux8_plin] = 3.2484939183063943e-09
Theta_0[cond_br14,mux2_plin] = -0.0
Theta_0[cond_br14,mux9_plin] = 3.248480151540889e-09
Theta_0[cond_br15,control_merge11] = -0.0
Theta_0[cond_br15,control_merge13] = 3.2484823719869382e-09
Theta_0[cond_br3,extsi45] = 3.248489477414296e-09
Theta_0[cond_br3,sink2] = -0.0
Theta_0[extsi45,mux26_plin] = -0.0
Theta_0[mux26_plout,fork15] = -0.0
Theta_0[fork15,extsi46] = -0.0
Theta_0[fork15,mux28_plin] = -0.0
Theta_0[extsi46,mc_load6_plin] = -0.0
Theta_0[mux8_plout,mux12_plin] = -0.0
Theta_0[mux9_plout,mux13_plin] = -0.0
Theta_0[control_merge13,fork16] = -0.0
Theta_0[control_merge13,fork17] = -0.0
Theta_0[fork16,mux26_plin] = -0.0
Theta_0[fork16,mux8_plin] = -0.0
Theta_0[fork16,mux9_plin] = -0.0
Theta_0[fork17,constant28] = -0.0
Theta_0[fork17,control_merge14] = -0.0
Theta_0[constant28,extsi47] = -0.0
Theta_0[mc_load6_plout,mux11_plin] = -0.0
Theta_0[extsi47,mux27_plin] = -0.0
Theta_0[mux27_plout,fork18] = -4.440892098500626e-16
Theta_0[fork18,extsi48] = -0.0
Theta_0[fork18,extsi49] = -0.0
Theta_0[fork18,extsi50] = -0.0
Theta_0[extsi48,addi21_plin] = -0.0
Theta_0[extsi49,muli12_plin] = -0.0
Theta_0[extsi50,mc_load4_plin] = -0.0
Theta_0[mux11_plout,addi2_plin] = -0.0
Theta_0[mux12_plout,cond_br19] = -4.440892098500626e-16
Theta_0[mux13_plout,fork19] = -0.0
Theta_0[fork19,muli2_plin] = -0.0
Theta_0[fork19,cond_br20] = -0.0
Theta_0[mux28_plout,fork20] = -0.0
Theta_0[fork20,extsi51] = -0.0
Theta_0[fork20,cond_br5] = -0.0
Theta_0[extsi51,addi20_plin] = -0.0
Theta_0[control_merge14,fork21] = -0.0
Theta_0[control_merge14,lazy_fork1] = -4.440892098500626e-16
Theta_0[fork21,mux27_plin] = -0.0
Theta_0[fork21,mux11_plin] = -0.0
Theta_0[fork21,mux12_plin] = -0.0
Theta_0[fork21,mux13_plin] = -0.0
Theta_0[fork21,mux28_plin] = -0.0
Theta_0[lazy_fork1,cond_br22] = -0.0
Theta_0[lazy_fork1,LSQ3] = -0.0
Theta_0[source4,constant29] = -0.0
Theta_0[constant29,fork22] = -0.0
Theta_0[fork22,extsi52] = -0.0
Theta_0[fork22,extsi53] = -0.0
Theta_0[extsi52,cmpi9_plin] = -0.0
Theta_0[extsi53,muli12_plin] = -0.0
Theta_0[source5,constant30] = -0.0
Theta_0[constant30,extsi54] = -0.0
Theta_0[extsi54,addi21_plin] = -0.0
Theta_0[muli12_plout,extsi55] = -0.0
Theta_0[extsi55,addi20_plin] = -0.0
Theta_0[addi20_plout,extsi56] = -0.0
Theta_0[extsi56,LSQ_load2_plin] = -0.0
Theta_0[LSQ_load2_plout,muli2_plin] = -0.0
Theta_0[LSQ_load2_plout,LSQ3] = -0.0
Theta_0[muli2_plout,muli3_plin] = -0.0
Theta_0[mc_load4_plout,muli3_plin] = -0.0
Theta_0[muli3_plout,addi2_plin] = -0.0
Theta_0[addi2_plout,cond_br18] = -0.0
Theta_0[addi21_plout,fork23] = -0.0
Theta_0[fork23,trunci2] = -0.0
Theta_0[fork23,cmpi9_plin] = -0.0
Theta_0[trunci2,cond_br4] = -0.0
Theta_0[cmpi9_plout,fork24] = -0.0
Theta_0[fork24,cond_br4] = -0.0
Theta_0[fork24,cond_br18] = -0.0
Theta_0[fork24,cond_br19] = -0.0
Theta_0[fork24,cond_br20] = -0.0
Theta_0[fork24,cond_br5] = -0.0
Theta_0[fork24,cond_br22] = -0.0
Theta_0[cond_br4,mux27_plin] = -0.0
Theta_0[cond_br4,sink3] = -0.0
Theta_0[cond_br18,mux11_plin] = -0.0
Theta_0[cond_br18,LSQ_store1] = -0.0
Theta_0[cond_br19,mux12_plin] = -0.0
Theta_0[cond_br19,cond_br24] = -0.0
Theta_0[cond_br20,mux13_plin] = -0.0
Theta_0[cond_br20,cond_br25] = -0.0
Theta_0[cond_br5,mux28_plin] = -0.0
Theta_0[cond_br5,fork25] = -0.0
Theta_0[cond_br22,control_merge14] = -0.0
Theta_0[cond_br22,lazy_fork2] = -0.0
Theta_0[fork25,extsi57] = -0.0
Theta_0[fork25,extsi58] = -0.0
Theta_0[extsi57,addi22_plin] = -0.0
Theta_0[extsi58,LSQ_store1] = -0.0
Theta_0[lazy_fork2,fork26] = -0.0
Theta_0[lazy_fork2,cond_br26] = -0.0
Theta_0[lazy_fork2,LSQ4] = -0.0
Theta_0[fork26,constant3] = -0.0
Theta_0[fork26,constant31] = -0.0
Theta_0[constant3,extsi11] = 0.0
Theta_0[constant31,cond_br40] = -0.0
Theta_0[source6,constant32] = -0.0
Theta_0[constant32,extsi59] = -0.0
Theta_0[extsi59,cmpi10_plin] = -0.0
Theta_0[source7,constant33] = -0.0
Theta_0[constant33,extsi60] = -0.0
Theta_0[extsi60,addi22_plin] = -0.0
Theta_0[LSQ_store1,LSQ4] = -0.0
Theta_0[addi22_plout,fork27] = -0.0
Theta_0[fork27,trunci3] = -0.0
Theta_0[fork27,cmpi10_plin] = -0.0
Theta_0[trunci3,cond_br6] = -0.0
Theta_0[cmpi10_plout,fork28] = -0.0
Theta_0[fork28,cond_br6] = -0.0
Theta_0[fork28,cond_br24] = -0.0
Theta_0[fork28,cond_br25] = -0.0
Theta_0[fork28,cond_br26] = -0.0
Theta_0[fork28,cond_br40] = -0.0
Theta_0[cond_br6,mux26_plin] = -0.0
Theta_0[cond_br6,sink4] = -0.0
Theta_0[cond_br24,mux8_plin] = -0.0
Theta_0[cond_br24,mux16_plin] = -0.0
Theta_0[cond_br25,mux9_plin] = -0.0
Theta_0[cond_br25,sink5] = -0.0
Theta_0[cond_br26,control_merge13] = -0.0
Theta_0[cond_br26,control_merge15] = -0.0
Theta_0[cond_br40,extsi61] = -0.0
Theta_0[cond_br40,sink6] = -0.0
Theta_0[extsi61,mux29_plin] = -0.0
Theta_0[mux29_plout,fork29] = -0.0
Theta_0[fork29,extsi62] = -0.0
Theta_0[fork29,extsi63] = -0.0
Theta_0[extsi62,addi23_plin] = -0.0
Theta_0[extsi63,fork30] = -0.0
Theta_0[fork30,LSQ_load3_plin] = -0.0
Theta_0[fork30,mc_load5_plin] = 2.2737367544323206e-13
Theta_0[fork30,LSQ_store2] = -0.0
Theta_0[mux16_plout,cond_br29] = -0.0
Theta_0[control_merge15,fork31] = -0.0
Theta_0[control_merge15,lazy_fork3] = -0.0
Theta_0[fork31,mux29_plin] = -0.0
Theta_0[fork31,mux16_plin] = -0.0
Theta_0[lazy_fork3,fork32] = -0.0
Theta_0[lazy_fork3,cond_br30] = -0.0
Theta_0[lazy_fork3,LSQ4] = -0.0
Theta_0[fork32,constant4] = -0.0
Theta_0[fork32,constant34] = -0.0
Theta_0[constant4,extsi15] = 0.0
Theta_0[constant34,cond_br42] = -0.0
Theta_0[source8,constant35] = -0.0
Theta_0[constant35,extsi64] = -0.0
Theta_0[extsi64,cmpi11_plin] = -0.0
Theta_0[source9,constant36] = -0.0
Theta_0[constant36,extsi65] = -0.0
Theta_0[extsi65,addi23_plin] = -0.0
Theta_0[LSQ_load3_plout,addi3_plin] = -0.0
Theta_0[LSQ_load3_plout,LSQ4] = -0.0
Theta_0[mc_load5_plout,addi3_plin] = -2.2737367544323206e-13
Theta_0[addi3_plout,LSQ_store2] = -0.0
Theta_0[LSQ_store2,LSQ4] = -0.0
Theta_0[addi23_plout,fork33] = -0.0
Theta_0[fork33,trunci4] = -0.0
Theta_0[fork33,cmpi11_plin] = -0.0
Theta_0[trunci4,cond_br41] = -0.0
Theta_0[cmpi11_plout,fork34] = -0.0
Theta_0[fork34,cond_br41] = -0.0
Theta_0[fork34,cond_br29] = -0.0
Theta_0[fork34,cond_br30] = -0.0
Theta_0[fork34,cond_br42] = -0.0
Theta_0[cond_br41,mux29_plin] = 0.0
Theta_0[cond_br41,sink7] = -0.0
Theta_0[cond_br29,mux16_plin] = 0.0
Theta_0[cond_br29,mux18_plin] = -0.0
Theta_0[cond_br30,control_merge15] = 0.0
Theta_0[cond_br30,control_merge16] = -0.0
Theta_0[cond_br42,extsi66] = -0.0
Theta_0[cond_br42,sink8] = -0.0
Theta_0[extsi66,mux30_plin] = -0.0
Theta_0[mux30_plout,fork35] = -0.0
Theta_0[fork35,extsi67] = -0.0
Theta_0[fork35,mux32_plin] = -0.0
Theta_0[extsi67,mc_load7_plin] = -0.0
Theta_0[mux18_plout,mux21_plin] = -0.0
Theta_0[control_merge16,fork36] = -0.0
Theta_0[control_merge16,fork37] = -0.0
Theta_0[fork36,mux30_plin] = -0.0
Theta_0[fork36,mux18_plin] = -0.0
Theta_0[fork37,constant37] = -0.0
Theta_0[fork37,control_merge17] = -0.0
Theta_0[constant37,extsi68] = -0.0
Theta_0[mc_load7_plout,mux20_plin] = -0.0
Theta_0[extsi68,mux31_plin] = -0.0
Theta_0[mux31_plout,fork38] = -0.0
Theta_0[fork38,extsi69] = -0.0
Theta_0[fork38,extsi70] = -0.0
Theta_0[fork38,extsi71] = -0.0
Theta_0[extsi69,addi24_plin] = -0.0
Theta_0[extsi70,addi25_plin] = -0.0
Theta_0[extsi71,LSQ_load6_plin] = -0.0
Theta_0[mux20_plout,addi4_plin] = -4.440892098500626e-16
Theta_0[mux21_plout,fork39] = -0.0
Theta_0[fork39,muli4_plin] = -0.0
Theta_0[fork39,cond_br34] = -4.440892098500626e-16
Theta_0[mux32_plout,fork40] = -0.0
Theta_0[fork40,extsi72] = -0.0
Theta_0[fork40,cond_br44] = -4.440892098500626e-16
Theta_0[extsi72,muli13_plin] = -0.0
Theta_0[control_merge17,fork41] = -0.0
Theta_0[control_merge17,fork42] = -0.0
Theta_0[fork41,mux31_plin] = -0.0
Theta_0[fork41,mux20_plin] = -0.0
Theta_0[fork41,mux21_plin] = -0.0
Theta_0[fork41,mux32_plin] = -0.0
Theta_0[fork42,cond_br36] = -4.440892098500626e-16
Theta_0[fork42,LSQ3] = -0.0
Theta_0[fork42,LSQ4] = -0.0
Theta_0[source10,constant38] = -0.0
Theta_0[constant38,fork43] = -0.0
Theta_0[fork43,extsi73] = -0.0
Theta_0[fork43,extsi74] = -0.0
Theta_0[extsi73,muli13_plin] = -0.0
Theta_0[extsi74,cmpi12_plin] = -0.0
Theta_0[source11,constant39] = -0.0
Theta_0[constant39,extsi75] = -0.0
Theta_0[extsi75,addi25_plin] = -0.0
Theta_0[muli13_plout,extsi76] = -0.0
Theta_0[extsi76,addi24_plin] = -0.0
Theta_0[addi24_plout,extsi77] = -0.0
Theta_0[extsi77,LSQ_load5_plin] = -0.0
Theta_0[LSQ_load5_plout,muli4_plin] = -0.0
Theta_0[LSQ_load5_plout,LSQ3] = -0.0
Theta_0[muli4_plout,muli5_plin] = -0.0
Theta_0[LSQ_load6_plout,muli5_plin] = -0.0
Theta_0[LSQ_load6_plout,LSQ4] = -0.0
Theta_0[muli5_plout,addi4_plin] = -0.0
Theta_0[addi4_plout,cond_br33] = -0.0
Theta_0[addi25_plout,fork44] = -0.0
Theta_0[fork44,trunci5] = -4.440892098500626e-16
Theta_0[fork44,cmpi12_plin] = -0.0
Theta_0[trunci5,cond_br43] = -0.0
Theta_0[cmpi12_plout,fork45] = -0.0
Theta_0[fork45,cond_br43] = -0.0
Theta_0[fork45,cond_br33] = -0.0
Theta_0[fork45,cond_br34] = -0.0
Theta_0[fork45,cond_br44] = -0.0
Theta_0[fork45,cond_br36] = -0.0
Theta_0[cond_br43,mux31_plin] = -0.0
Theta_0[cond_br43,sink9] = -0.0
Theta_0[cond_br33,mux20_plin] = -0.0
Theta_0[cond_br33,mc_store0] = -0.0
Theta_0[cond_br34,mux21_plin] = -0.0
Theta_0[cond_br34,cond_br38] = -0.0
Theta_0[cond_br44,mux32_plin] = -0.0
Theta_0[cond_br44,fork46] = -0.0
Theta_0[cond_br36,control_merge17] = -0.0
Theta_0[cond_br36,fork47] = -0.0
Theta_0[fork46,extsi78] = -0.0
Theta_0[fork46,extsi79] = -0.0
Theta_0[extsi78,addi26_plin] = -0.0
Theta_0[extsi79,mc_store0] = -0.0
Theta_0[fork47,constant5] = -0.0
Theta_0[fork47,cond_br39] = -0.0
Theta_0[constant5,extsi22] = 0.0
Theta_0[source12,constant40] = -0.0
Theta_0[constant40,extsi80] = -0.0
Theta_0[extsi80,cmpi13_plin] = -0.0
Theta_0[source13,constant41] = -0.0
Theta_0[constant41,extsi81] = -0.0
Theta_0[extsi81,addi26_plin] = -0.0
Theta_0[addi26_plout,fork48] = -0.0
Theta_0[fork48,trunci6] = -0.0
Theta_0[fork48,cmpi13_plin] = -0.0
Theta_0[trunci6,cond_br45] = -0.0
Theta_0[cmpi13_plout,fork49] = -0.0
Theta_0[fork49,cond_br45] = -0.0
Theta_0[fork49,cond_br38] = -0.0
Theta_0[fork49,cond_br39] = -0.0
Theta_0[cond_br45,mux30_plin] = -0.0
Theta_0[cond_br45,sink10] = -0.0
Theta_0[cond_br38,mux18_plin] = -0.0
Theta_0[cond_br38,sink11] = -0.0
Theta_0[cond_br39,control_merge16] = -0.0
Theta_0[cond_br39,return1_plin] = -0.0
Theta_0[return1_plout,end1_plin] = -0.0
Theta_0[LSQ3,LSQ_load2_plin] = -0.0
Theta_0[LSQ3,LSQ_load5_plin] = -0.0
Theta_0[LSQ3,end1_plin] = 0.0
Theta_0[LSQ4,LSQ_load3_plin] = -0.0
Theta_0[LSQ4,LSQ_load6_plin] = -0.0
Theta_0[LSQ4,end1_plin] = 0.0
ru[alpha] = 1645.1410144138272
ru[beta] = 1645.1410144138272
ru[start_0] = 1645.1410144138272
ru[fork0] = 1645.1410144138272
ru[constant0] = 1645.1410144138272
ru[extsi25] = 1645.1410144138272
ru[mux1_plin] = 1645.1410144138272
ru[mux1_plout] = 1645.1410144138272
ru[mux2_plin] = 1645.1410144138272
ru[mux2_plout] = 1645.1410144138272
ru[mux23_plin] = 1645.1410144138272
ru[mux23_plout] = 1645.1410144138272
ru[control_merge11] = 1645.1410144138272
ru[fork1] = 1645.1410144138272
ru[fork2] = 1645.1410144138272
ru[constant1] = 1645.1410144138272
ru[extsi26] = 1645.1410144138272
ru[mux24_plin] = 1645.1410144138272
ru[mux24_plout] = 1645.1410144138272
ru[fork3] = 1645.1410144138272
ru[extsi27] = 1645.1410144138272
ru[extsi28] = 1649.1410144110193
ru[extsi29] = 1645.1410144138272
ru[extsi30] = 1645.1410144138272
ru[fork4] = 1645.1410144138272
ru[mux4_plin] = 1645.1410144138272
ru[mux4_plout] = 1646.1410144138272
ru[mux5_plin] = 1645.1410144138272
ru[mux5_plout] = 1646.1410144138272
ru[mux25_plin] = 1645.1410144138272
ru[mux25_plout] = 1645.1410144138272
ru[fork5] = 1645.1410144138272
ru[extsi31] = 1645.1410144138272
ru[extsi32] = 1645.1410144138272
ru[extsi33] = 1645.1410144138272
ru[fork6] = 1645.1410144138272
ru[control_merge12] = 1645.1410144138272
ru[fork7] = 1645.1410144138272
ru[lazy_fork0] = 1646.1410144138272
ru[fork8] = 1646.1410144138272
ru[constant2] = 1646.1410144138272
ru[extsi2] = 1646.1410144138272
ru[source0] = 1645.1410144138272
ru[constant23] = 1645.1410144138272
ru[fork9] = 1645.1410144138272
ru[extsi34] = 1645.1410144138272
